Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned,Tjedan_U_Godini,Godina
00564,342,342,342,342,310,Oz,Oz,19,2024
00736,331,331,303,303,266,558,O,19,2024
00759,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
00763,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
00846,215,215,215,215,Oz,540,731,19,2024
00969,324,324,324,O,332,599,777,19,2024
01002,256,256,256,256,256,O,740,19,2024
02332,882,332,332,332,881,594,O,19,2024
03155,49,49,49,49,49,428,Oz,19,2024
03157,327,327,327,327,327,O,748,19,2024
03158,354,O,354,354,354,611,O,19,2024
03159,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03161,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03163,272,272,272,272,272,O,O,19,2024
03164,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03167,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03172,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03177,374,354,O,374,374,616,808,19,2024
03179,I-GO,I-GO,I-GO,I-GO,I-GO,584,772,19,2024
03181,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03184,382,382,382,382,382,O,O,19,2024
03186,312,312,312,312,312,O,773,19,2024
03192,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03193,24,24,24,Oz,24,413,O,19,2024
03194,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03195,107,107,107,107,O,466,680,19,2024
03197,63,63,O,88,88,458,O,19,2024
03199,382,382,382,382,382,O,O,19,2024
03205,353,353,353,O,353,610,788,19,2024
03209,I-GO,341,341,341,341,O,734,19,2024
03223,I-GO,I-GO,I-GO,279,279,567,753,19,2024
03228,108,108,108,108,O,469,683,19,2024
03232,241,241,241,241,241,O,O,19,2024
03236,I-GO,270,270,270,270,560,776,19,2024
03237,339,339,339,339,345,604,O,19,2024
03239,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03243,O,52,52,52,52,O,657,19,2024
03246,104,104,104,O,104,472,O,19,2024
03253,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03255,O,325,325,325,325,597,O,19,2024
03260,325,306,306,306,306,O,785,19,2024
03263,103,178,103,178,103,O,633,19,2024
03265,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03273,183,220,116,320,183,O,704,19,2024
03283,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03290,249,249,249,249,249,O,O,19,2024
03294,352,O,352,352,352,O,786,19,2024
03295,76,76,76,76,76,O,667,19,2024
03300,320,320,320,O,O,320,727,19,2024
03308,308,297,O,293,291,291,763,19,2024
03313,193,193,193,193,193,O,708,19,2024
03332,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03338,33,33,33,O,33,420,O,19,2024
03339,343,343,343,343,343,O,O,19,2024
03351,161,161,161,161,161,O,O,19,2024
03354,315,315,315,315,315,O,725,19,2024
03355,383,383,383,383,383,O,O,19,2024
03374,200,O,200,200,200,521,O,19,2024
03376,382,382,382,382,382,O,O,19,2024
03382,64,O,64,64,64,Oz,Oz,19,2024
03396,302,302,302,882,326,Oz,O,19,2024
03409,23,23,O,66,66,463,O,19,2024
03414,Oz,40,40,40,40,O,659,19,2024
03416,O,308,308,308,308,Oz,Oz,19,2024
03437,871,871,871,871,871,O,O,19,2024
03449,344,344,O,344,344,606,O,19,2024
03452,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03468,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03470,301,301,301,301,301,Oz,O,19,2024
03472,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03474,196,196,196,196,196,544,O,19,2024
03478,I-DK,I-DK,1,1,1,Oz,Oz,19,2024
03479,2,O,2,2,2,O,628,19,2024
03486,187,187,187,187,187,O,705,19,2024
03488,88,88,89,90,90,O,676,19,2024
03490,375,375,375,375,O,617,809,19,2024
03505,Oz,57,57,57,57,435,Oz,19,2024
03508,209,209,O,209,209,513,O,19,2024
03513,206,206,206,206,206,205,O,19,2024
03517,203,203,203,203,203,O,714,19,2024
03529,173,O,173,173,173,O,698,19,2024
03536,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03540,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03544,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03554,28,28,28,28,28,Oz,642,19,2024
03560,208,208,208,208,208,O,O,19,2024
03561,853,853,853,853,853,O,O,19,2024
03582,21,66,66,63,63,877,O,19,2024
03585,87,87,87,87,87,O,640,19,2024
03587,98,98,98,98,O,433,681,19,2024
03595,O,299,310,299,299,573,O,19,2024
03603,234,169,240,240,211,880,O,19,2024
03607,153,153,153,153,152,Oz,Oz,19,2024
03609,151,151,151,151,151,474,O,19,2024
03621,163,163,307,855,163,O,724,19,2024
03623,296,296,Oz,296,296,Oz,Oz,19,2024
03627,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03628,305,305,305,305,305,O,O,19,2024
03629,I-GO,I-GO,I-GO,273,273,563,749,19,2024
03631,250,250,250,Oz,250,545,O,19,2024
03636,O,352,309,353,O,609,787,19,2024
03638,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,19,2024
03639,60,60,61,61,O,O,643,19,2024
03649,84,84,84,84,84,O,Oz,19,2024
03654,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03656,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03657,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03659,236,O,236,236,236,515,O,19,2024
03660,141,141,141,141,141,O,O,19,2024
03670,245,245,245,O,245,541,O,19,2024
03673,38,38,38,38,38,52,O,19,2024
03674,282,282,282,282,282,O,756,19,2024
03683,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03685,90,90,O,O,67,461,677,19,2024
03686,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,19,2024
03691,I-GO,225,225,225,225,450,673,19,2024
03696,31,26,26,Oz,31,418,O,19,2024
03698,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03699,I-BO,I-BO,I-GO,I-GO,I-GO,Og,Og,19,2024
03700,300,300,O,O,300,574,757,19,2024
03705,311,314,318,318,318,553,O,19,2024
03706,I-GO,I-GO,I-GO,21,95,438,O,19,2024
03709,O,3,3,3,3,O,O,19,2024
03711,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
03713,123,31,178,31,30,O,O,19,2024
03717,382,382,382,382,382,O,O,19,2024
03718,37,37,O,37,37,O,648,19,2024
03725,202,202,202,202,202,O,O,19,2024
03726,99,99,82,48,48,O,Oz,19,2024
03734,175,175,175,175,175,O,700,19,2024
03747,192,184,248,188,205,507,O,19,2024
03801,105,O,105,105,105,470,O,19,2024
03927,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03958,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
03964,269,269,269,268,268,595,O,19,2024
04303,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
04415,268,268,268,329,329,532,O,19,2024
04498,122,122,122,122,122,O,O,19,2024
04601,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05002,868,868,868,868,868,528,O,19,2024
05020,326,326,328,328,328,O,746,19,2024
05097,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05144,323,328,331,O,Oz,581,768,19,2024
05176,19,17,17,17,19,410,O,19,2024
05238,17,18,18,19,O,439,664,19,2024
05324,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05337,29,29,29,29,29,O,641,19,2024
05347,295,295,295,295,295,O,762,19,2024
05348,O-LR,55,55,55,55,436,O,19,2024
05365,243,243,243,243,243,O,732,19,2024
05370,336,336,336,336,336,603,Oz,19,2024
05389,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
05410,I-GO,I-GO,I-GO,I-GO,I-GO,577,754,19,2024
05423,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05441,309,309,O,309,309,580,758,19,2024
05449,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05621,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
05984,292,292,292,292,292,O,743,19,2024
05996,286,286,286,286,286,570,O,19,2024
05998,O,218,229,229,229,499,Oz,19,2024
06485,26,11,O,24,26,415,O,19,2024
06486,4,4,14,35,35,Oz,O,19,2024
06558,10,Oz,54,42,50,444,Oz,19,2024
07669,42,42,O,43,42,424,779,19,2024
08333,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
09539,181,181,181,181,179,493,O,19,2024
09767,25,25,25,O,25,417,O,19,2024
30001,Oz,198,198,198,198,198,710,19,2024
31001,22,21,21,23,23,O,O,19,2024
31004,143,143,143,143,143,O,O,19,2024
31008,294,294,294,294,294,O,771,19,2024
31014,27,27,27,27,27,O,644,19,2024
31016,62,62,62,62,62,O,653,19,2024
31019,I-GO,I-GO,I-GO,210,210,514,718,19,2024
31020,297,Oz,297,297,297,578,O,19,2024
31022,78,78,78,O,53,448,Oz,19,2024
31023,3,106,102,104,108,O,636,19,2024
31025,I-PN,I-PN,I-PN,I-PN,I-PN,O,O,19,2024
31026,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31027,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31029,856,856,856,856,856,481,O,19,2024
31030,O,381,381,381,381,381,806,19,2024
31031,857,857,857,857,857,520,O,19,2024
31034,867,867,867,867,867,490,O,19,2024
31035,48,48,48,46,46,46,O,19,2024
31039,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31041,100,100,100,100,100,430,O,19,2024
31045,69,69,68,68,69,445,O,19,2024
31047,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31049,Oz,67,20,91,96,411,639,19,2024
31053,287,287,287,Oz,287,287,759,19,2024
31055,382,382,382,382,382,O,O,19,2024
31056,222,222,222,222,153,Oz,Oz,19,2024
31057,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31063,258,258,258,258,Oz,Oz,723,19,2024
31064,35,35,35,36,36,O,645,19,2024
31068,303,303,326,326,331,O,O,19,2024
31070,854,854,854,854,854,O,O,19,2024
31071,36,36,36,32,32,422,O,19,2024
31072,321,321,321,321,321,Oz,Oz,19,2024
31073,O,70,69,69,70,O,662,19,2024
31075,Oz,92,92,67,878,456,O,19,2024
31076,39,41,41,41,41,426,O,19,2024
31081,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31082,43,43,43,50,51,O,649,19,2024
31084,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31085,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31086,210,210,210,211,I-DK,O,O,19,2024
31087,O,291,291,291,290,576,O,19,2024
31089,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31092,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31094,333,O,333,333,333,601,O,19,2024
31095,201,O,183,197,194,500,713,19,2024
31096,132,132,97,132,132,O,O,19,2024
31097,879,Oz,Oz,269,269,593,696,19,2024
31099,47,59,O,56,56,429,O,19,2024
31101,275,Oz,296,260,280,564,750,19,2024
31102,217,217,217,Oz,217,518,720,19,2024
31103,285,285,285,284,O,588,764,19,2024
31104,267,267,266,266,303,559,O,19,2024
31108,852,852,852,852,852,543,O,19,2024
31110,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31112,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31114,I-DK,262,290,290,284,555,O,19,2024
31115,277,881,277,O,277,565,O,19,2024
31117,18,19,93,22,89,457,O,19,2024
31118,66,22,23,89,92,464,O,19,2024
31119,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31120,280,281,261,285,285,Oz,Oz,19,2024
31123,I-GO,I-GO,I-GO,I-GO,I-GO,497,Oz,19,2024
31124,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31125,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31126,82,82,O,82,82,O,674,19,2024
31127,74,74,74,74,74,441,Oz,19,2024
31128,97,97,Oz,97,97,407,668,19,2024
