brojSluzbe,linija,vr,nastupSluzbe,od,do,zavrsetakSluzbe
1,101,1,GAR.,04:35,11:30,BR.T.
2,102,1,GAR.,04:15,11:00,BR.T.
3,102,2,GAR.,04:10,11:10,BR.T.
4,102,3,GAR.,04:15,10:35,BR.T.
5,104,1,GAR.,06:05,12:30,JAND
6,105,1,GAR.,04:45,11:15,KAPT.
7,105,2,GAR.,06:30,13:15,BR.T.
8,106,1,GAR.,06:10,13:10,KAPT.
9,106,2,GAR.,05:50,12:50,KAPT.
10,109,2,GAR.,04:19,11:19,ČRN.
11,109,4,GAR.,06:03,13:03,ČRN.
12,109,5,GAR.,04:45,11:43,ČRN.
13,109,6,GAR.,06:17,13:17,ČRN.
14,109,8,GAR.,04:35,10:42,ČRN.
15,109,10,GAR.,04:40,10:54,ČRN.
16,109,11,GAR.,04:55,11:06,ČRN.
17,110,1,GAR.,04:00,10:40,S.M.
18,110,2,GAR.,03:50,10:10,S.M.
18,110,2,S.M.,10:50,12:10,S.M.
19,110,3,GAR.,04:15,11:00,S.M.
20,110,4,GAR.,06:10,13:10,S.M.
21,111,1,GAR.,04:10,11:10,S.M.
22,112,1,GAR.,04:10,08:25,S.M.
22,112,1,S.M.,09:25,12:40,S.M.
23,112,3,GAR.,03:50,10:10,S.M.
24,113,1,LJUB.,08:30,15:10,LJUB.
25,114,1,GAR.,04:30,11:30,PREČ
26,115,1,GAR.,04:15,11:04,LJUB.
27,115,2,GAR.,04:30,11:17,LJUB.
28,115,3,GAR.,05:25,12:19,LJUB.
29,115,5,GAR.,05:43,12:32,LJUB.
30,116,1,GAR.,04:10,11:10,LJUB.
31,116,2,GAR.,05:25,10:35,LJUB.
31,116,1,LJUB.,11:10,13:20,LJUB.
32,118,1,GAR.,04:40,11:16,T.M.
33,118,2,GAR.,04:25,10:44,T.M.
34,118,3,GAR.,05:55,12:12,T.M.
35,118,4,GAR.,04:40,11:40,T.M.
36,118,5,GAR.,04:10,11:09,T.M.
37,119,1,GAR.,04:00,10:45,ČRN.
38,119,2,GAR.,04:25,11:15,ČRN.
39,120,1,GAR.,04:35,11:30,ČRN.
39,144,1,ČRN.,12:00,12:30,ČRN.
40,120,2,GAR.,04:30,11:30,ČRN.
41,120,3,GAR.,04:55,10:55,ČRN.
42,121,1,GAR.,04:25,10:55,ČRN.
43,121,2,GAR.,04:10,11:10,ČRN.
44,121,3,GAR.,05:40,12:20,ČRN.
45,,,,,,
46,123,1,GAR.,04:15,11:00,ČRN.
47,123,2,GAR.,04:45,10:30,ČRN.
48,124,1,GAR.,04:25,11:25,ČRN.
49,124,2,GAR.,04:45,11:05,ČRN.
50,125,1,GAR.,04:20,10:55,ČRN.
51,125,2,GAR.,04:40,11:15,ČRN.
52,126,1,GAR.,04:10,11:10,ČRN.
53,126,2,GAR.,04:30,11:30,ČRN.
54,127,1,GAR.,04:00,10:30,ČRN.
55,127,2,GAR.,04:20,10:50,ČRN.
56,128,1,GAR.,04:10,11:00,ČRN.
57,128,2,GAR.,05:30,12:00,ČRN.
58,128,4,GAR.,04:25,11:25,ČRN.
59,129,1,GAR.,04:05,11:05,KUNIŠ
60,130,2,GAR.,04:55,11:00,ČRN.
61,131,1,GAR.,04:45,10:45,ČRN.
62,131,2,GAR.,04:15,11:15,ČRN.
63,132,1,GAR.,03:50,10:50,S.M.
64,132,2,GAR.,04:25,11:25,S.M.
65,132,3,GAR.,05:40,07:25,S.M.
65,132,3,S.M.,08:10,13:00,S.M.
66,133,1,GAR.,04:15,11:15,S.M.
67,133,2,GAR.,05:00,11:45,S.M.
68,134,1,GAR.,04:10,11:08,ČRN.
69,134,2,GAR.,04:25,11:24,ČRN.
70,134,3,GAR.,04:40,11:40,ČRN.
71,135,1,GAR.,04:15,11:00,ČRN.
72,136,1,GAR.,04:20,11:15,ČRN.
73,136,2,GAR.,05:53,12:22,ČRN.
74,136,3,GAR.,04:40,10:59,ČRN.
75,137,1,GAR.,04:10,08:10,ČRN.
75,130,1,ČRN.,11:30,15:15,ČRN.
76,138,1,GAR.,05:50,12:45,BR.T.
77,139,1,GAR.,05:40,12:20,GAR.
78,140,1,GAR.,05:50,08:00,MIHAL
78,140,1,MIHAL,08:30,13:50,MIHAL
79,142,1,GAR.,04:40,11:30,VRAP.
80,143,1,GAR.,04:45,11:25,VRAP.
81,146,1,GAR.,05:05,11:40,RELJ.
82,146,2,GAR.,04:25,10:53,RELJ.
83,146,3,GAR.,04:45,11:17,RELJ.
84,148,1,GAR.,05:40,09:45,RELJ.
84,148,1,RELJ.,10:15,14:00,RELJ.
85,150,1,GAR.,06:15,13:00,TUŠK.
86,,,,,,
87,159,2,GAR.,04:30,11:10,S.M.
88,160,1,GAR.,03:50,10:05,S.M.
89,160,2,GAR.,04:20,11:20,S.M.
90,161,1,GAR.,04:30,11:30,S.M.
91,162,1,GAR.,03:50,10:50,S.M.
92,163,1,GAR.,05:00,11:20,S.M.
93,164,2,GAR.,03:55,10:55,S.M.
94,166,1,GAR.,04:10,08:20,GL.K.
94,166,1,GL.K.,08:50,12:15,GL.K.
95,168,1,GAR.,03:55,10:50,S.M.
96,168,2,GAR.,05:00,11:20,S.M.
97,172,1,GAR.,04:05,10:36,ČRN.
98,172,2,GAR.,05:25,12:10,ČRN.
99,172,4,GAR.,04:25,11:20,GAR.
100,172,6,GAR.,04:45,11:04,ČRN.
101,172,7,GAR.,05:40,12:36,ČRN.
102,172,9,GAR.,04:40,11:30,ČRN.
103,172,10,GAR.,06:05,13:04,ČRN.
104,174,1,GAR.,03:50,09:35,ZAPR.
104,174,1,ZAPR.,10:05,11:15,ZAPR.
105,176,1,GAR.,04:00,10:50,ČRN.
106,176,2,GAR.,04:20,11:20,ČRN.
107,176,4,GAR.,05:00,12:00,ČRN.
108,182,1,GAR.,04:15,11:15,ZAPR.
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,109,1,GAR.,05:30,08:40,GAR.
114,109,1,GAR.,12:20,17:01,ČRN.
115,109,3,GAR.,04:30,08:55,GAR.
115,176,6,GAR.,15:10,17:15,ČRN.
116,109,7,GAR.,05:50,09:15,GAR.
116,109,7,GAR.,13:12,17:47,ČRN.
117,109,9,GAR.,06:05,09:30,GAR.
117,109,9,GAR.,13:24,17:59,ČRN.
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,112,2,GAR.,04:20,07:45,GAR.
122,164,1,S.M.,10:45,15:00,S.M.
123,113,1,GAR.,04:55,08:30,LJUB.
123,116,1,LJUB.,13:20,17:10,LJUB.
124,115,4,GAR.,04:45,09:29,GAR.
124,115,4,GAR.,14:17,16:45,LJUB.
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,127,3,GAR.,05:55,09:50,GAR.
129,127,3,GAR.,13:20,17:25,GAR.
130,128,3,GAR.,04:55,09:00,ČRN.
130,128,3,ČRN.,13:36,17:31,GAR.
131,129,2,GAR.,04:55,09:00,GAR.
131,150,1,TUŠK.,13:00,16:55,GAR.
132,130,1,GAR.,04:25,08:40,ČRN.
132,130,2,ČRN.,11:00,14:40,ČRN.
133,133,3,GAR.,05:25,08:40,GAR.
133,133,3,GAR.,13:15,18:00,GAR.
134,151,1,GAR.,07:00,09:10,ČRN.
134,136,2,ČRN.,12:22,18:12,ČRN.
